Date,Open,High,Low,Close,Adj Close,Volume
2014-03-03,0.163503,0.163503,0.163503,0.163503,0.163503,0
2014-03-10,0.163503,0.163503,0.162615,0.162859,0.162859,0
2014-03-17,0.162859,0.162859,0.160606,0.160898,0.160898,0
2014-03-24,0.160898,0.162109,0.160606,0.161233,0.161233,0
2014-03-31,0.161233,0.161582,0.160875,0.161231,0.161231,0
2014-04-07,0.161231,0.161841,0.161005,0.161254,0.161254,0
2014-04-14,0.161254,0.161262,0.160398,0.161054,0.161054,0
2014-04-21,0.161054,0.161054,0.159880,0.160161,0.160161,0
2014-04-28,0.160161,0.160318,0.159783,0.159790,0.159790,0
2014-05-05,0.160015,0.161067,0.159783,0.160831,0.160831,0
2014-05-12,0.160831,0.160911,0.160346,0.160681,0.160681,0
2014-05-19,0.160681,0.160686,0.160295,0.160601,0.160601,0
2014-05-26,0.160601,0.160625,0.159972,0.160000,0.160000,0
2014-06-02,0.160310,0.160382,0.159821,0.160244,0.160244,0
2014-06-09,0.160244,0.161493,0.159987,0.161303,0.161303,0
2014-06-16,0.161303,0.161303,0.160488,0.160610,0.160610,0
2014-06-23,0.160914,0.161095,0.160385,0.160780,0.160780,0
2014-06-30,0.161069,0.161621,0.160862,0.161130,0.161130,0
2014-07-07,0.161444,0.454236,0.160992,0.161457,0.161457,0
2014-07-14,0.161457,0.161530,0.161108,0.161342,0.161342,0
2014-07-21,0.161342,0.161768,0.161072,0.161768,0.161768,0
2014-07-28,0.161768,0.162306,0.161499,0.162080,0.162080,0
2014-08-04,0.162080,0.162718,0.161825,0.162702,0.162702,0
2014-08-11,0.162702,0.162970,0.162404,0.162938,0.162938,0
2014-08-18,0.162938,0.163212,0.162567,0.162827,0.162827,0
2014-08-25,0.162827,0.163074,0.162200,0.163042,0.163042,0
2014-09-01,0.163042,0.163271,0.162050,0.162010,0.162010,0
2014-09-08,0.163119,0.163449,0.162853,0.163130,0.163130,0
2014-09-15,0.163273,0.163273,0.162700,0.162370,0.162370,0
2014-09-22,0.163103,0.163506,0.162813,0.163476,0.163476,0
2014-09-29,0.163476,0.163476,0.161190,0.161110,0.161110,0
2014-10-06,0.163159,0.163393,0.162893,0.163369,0.163369,0
2014-10-13,0.163369,0.163599,0.163079,0.163559,0.163559,0
2014-10-20,0.163559,0.163744,0.163080,0.162990,0.162990,0
2014-10-27,0.163744,0.163975,0.162680,0.161660,0.161660,0
2014-11-03,0.163862,0.163905,0.162320,0.163200,0.163200,0
2014-11-10,0.163591,0.163797,0.163383,0.163412,0.163412,0
2014-11-17,0.163412,0.163733,0.163280,0.163020,0.163020,0
2014-11-24,0.163535,0.163535,0.162943,0.162510,0.162510,0
