Date,Open,High,Low,Close,Adj Close,Volume
2014-03-03,0.022576,0.022592,0.022530,0.022530,0.022530,0
2014-03-10,0.022530,0.024510,0.022340,0.022430,0.022430,0
2014-03-17,0.022425,0.022482,0.022029,0.022082,0.022082,0
2014-03-24,0.022082,0.022402,0.021713,0.022284,0.022284,0
2014-03-31,0.022387,0.022683,0.021741,0.022257,0.022257,0
2014-04-07,0.022262,0.022981,0.022242,0.022581,0.022581,0
2014-04-14,0.022586,0.022616,0.022365,0.022506,0.022506,0
2014-04-21,0.022511,0.022740,0.022328,0.022464,0.022464,0
2014-04-28,0.022462,0.022583,0.022426,0.022474,0.022474,0
2014-05-05,0.022479,0.023026,0.022472,0.022923,0.022923,0
2014-05-12,0.022925,0.023338,0.022454,0.022830,0.022830,0
2014-05-19,0.022935,0.023020,0.022808,0.022975,0.022975,0
2014-05-26,0.022975,0.023256,0.022714,0.022790,0.022790,0
2014-06-02,0.022849,0.023074,0.022761,0.023035,0.023035,0
2014-06-09,0.022962,0.023036,0.022745,0.022839,0.022839,0
2014-06-16,0.022841,0.022986,0.022230,0.022780,0.022780,0
2014-06-23,0.022847,0.023315,0.022748,0.022860,0.022860,0
2014-06-30,0.022917,0.023064,0.022705,0.022980,0.022980,0
2014-07-07,0.023035,0.023189,0.022946,0.023055,0.023055,0
2014-07-14,0.023049,0.023056,0.022889,0.023030,0.023030,0
2014-07-21,0.023043,0.023228,0.022957,0.023135,0.023135,0
2014-07-28,0.023141,0.023151,0.022765,0.022933,0.022933,0
2014-08-04,0.022942,0.023039,0.022622,0.022797,0.022797,0
2014-08-11,0.022782,0.023007,0.022745,0.022962,0.022962,0
2014-08-18,0.022904,0.022976,0.022771,0.022852,0.022852,0
2014-08-25,0.022786,0.023025,0.022777,0.022951,0.022951,0
2014-09-01,0.022942,0.023063,0.022880,0.022910,0.022910,0
2014-09-08,0.022912,0.023334,0.022689,0.022800,0.022800,0
2014-09-15,0.022812,0.022812,0.022404,0.022420,0.022420,0
2014-09-22,0.022515,0.022727,0.022238,0.022314,0.022314,0
2014-09-29,0.022371,0.022423,0.022184,0.022220,0.022220,0
2014-10-06,0.022288,0.022475,0.022247,0.022400,0.022400,0
2014-10-13,0.022420,0.022461,0.022200,0.022359,0.022359,0
2014-10-20,0.022353,0.022410,0.022289,0.022320,0.022320,0
2014-10-27,0.022409,0.022666,0.022220,0.022666,0.022666,0
2014-11-03,0.022201,0.022359,0.022153,0.022320,0.022320,0
2014-11-10,0.022292,0.022377,0.022190,0.022315,0.022315,0
2014-11-17,0.022325,0.022352,0.022100,0.022220,0.022220,0
2014-11-24,0.022264,0.022546,0.022210,0.022180,0.022180,0
2014-12-01,0.022290,0.022553,0.022218,0.022400,0.022400,0
2014-12-08,0.022463,0.022570,0.022355,0.022488,0.022488,0
2014-12-15,0.022499,0.022499,0.022330,0.022320,0.022320,0
2014-12-22,0.022387,0.022962,0.022370,0.022320,0.022320,0
2014-12-29,0.022413,0.022823,0.022280,0.022180,0.022180,0
2015-01-05,0.022268,0.022364,0.022163,0.022330,0.022330,0
2015-01-12,0.022389,0.022591,0.022259,0.022400,0.022400,0
2015-01-19,0.022468,0.022789,0.022356,0.022480,0.022480,0
2015-01-26,0.022727,0.022792,0.022647,0.022650,0.022650,0
2015-02-02,0.022740,0.022994,0.022590,0.022600,0.022600,0
2015-02-09,0.022676,0.022676,0.022482,0.022619,0.022619,0
2015-02-16,0.022671,0.022758,0.022573,0.022600,0.022600,0
2015-02-23,0.022664,0.022842,0.022561,0.022610,0.022610,0
2015-03-02,0.022701,0.022777,0.022540,0.022550,0.022550,0
2015-03-09,0.022627,0.022724,0.022523,0.022520,0.022520,0
2015-03-16,0.022635,0.022683,0.022225,0.022300,0.022300,0
2015-03-23,0.022341,0.022457,0.022272,0.022300,0.022300,0
2015-03-30,0.022319,0.022802,0.022319,0.022760,0.022760,0
2015-04-06,0.022803,0.022810,0.022414,0.022430,0.022430,0
2015-04-13,0.022506,0.022725,0.022361,0.022665,0.022665,0
2015-04-20,0.022642,0.022718,0.022576,0.022688,0.022688,0
2015-04-27,0.022650,0.022708,0.022360,0.022340,0.022340,0
2015-05-04,0.022415,0.022563,0.022349,0.022410,0.022410,0
2015-05-11,0.022495,0.022642,0.022285,0.022510,0.022510,0
2015-05-18,0.022567,0.022579,0.022390,0.022390,0.022390,0
2015-05-25,0.022426,0.022527,0.022336,0.022512,0.022512,0
2015-06-01,0.022449,0.022572,0.022082,0.022297,0.022297,0
2015-06-08,0.022223,0.022354,0.022031,0.022164,0.022164,0
2015-06-15,0.022072,0.022362,0.022052,0.022343,0.022343,0
2015-06-22,0.022322,0.022337,0.022129,0.022230,0.022230,0
2015-06-29,0.021866,0.022274,0.021866,0.022227,0.022227,0
2015-07-06,0.022077,0.022263,0.022069,0.022207,0.022207,0
2015-07-13,0.022191,0.022238,0.022065,0.022154,0.022154,0
2015-07-20,0.022109,0.022212,0.021942,0.022115,0.022115,0
2015-07-27,0.022016,0.022073,0.021863,0.021945,0.021945,0
