Date,Open,High,Low,Close,Adj Close,Volume
2014-02-17,0.027989,0.028186,0.027843,0.028150,0.028150,0
2014-02-24,0.028137,0.028278,0.027594,0.027730,0.027730,0
2014-03-03,0.027315,0.027842,0.027159,0.027470,0.027470,0
2014-03-10,0.027514,0.027581,0.027251,0.027340,0.027340,0
2014-03-17,0.027310,0.027868,0.027240,0.027520,0.027520,0
2014-03-24,0.027579,0.028307,0.027579,0.027910,0.027910,0
2014-03-31,0.028058,0.028626,0.027660,0.027660,0.027660,0
2014-04-07,0.028453,0.028453,0.027909,0.028030,0.028030,0
2014-04-14,0.027871,0.028242,0.027581,0.028060,0.028060,0
2014-04-21,0.028141,0.028141,0.027729,0.027766,0.027766,0
2014-04-28,0.027689,0.028246,0.027689,0.027850,0.027850,0
2014-05-05,0.027882,0.028787,0.027882,0.028380,0.028380,0
2014-05-12,0.028318,0.028974,0.028318,0.028770,0.028770,0
2014-05-19,0.028706,0.029356,0.028706,0.029310,0.029310,0
2014-05-26,0.029332,0.029412,0.028638,0.028630,0.028630,0
2014-06-02,0.028651,0.029073,0.028366,0.029040,0.029040,0
2014-06-09,0.029040,0.029228,0.029006,0.029070,0.029070,0
2014-06-16,0.029036,0.029282,0.028687,0.029000,0.029000,0
2014-06-23,0.028993,0.029808,0.028993,0.029610,0.029610,0
2014-06-30,0.029648,0.030035,0.028990,0.029050,0.029050,0
2014-07-07,0.029027,0.029720,0.028899,0.029230,0.029230,0
2014-07-14,0.029230,0.029442,0.028372,0.028420,0.028420,0
2014-07-21,0.028404,0.028829,0.028397,0.028450,0.028450,0
2014-07-28,0.028466,0.028502,0.027849,0.027960,0.027960,0
2014-08-04,0.028005,0.028083,0.027368,0.027650,0.027650,0
2014-08-11,0.027674,0.027919,0.027563,0.027680,0.027680,0
2014-08-18,0.027735,0.027844,0.027501,0.027660,0.027660,0
2014-08-25,0.027706,0.027799,0.026894,0.026970,0.026970,0
2014-09-01,0.027415,0.027415,0.026670,0.027040,0.027040,0
2014-09-08,0.026991,0.027133,0.026343,0.026440,0.026440,0
2014-09-15,0.026470,0.026494,0.025755,0.026010,0.026010,0
2014-09-22,0.025986,0.026217,0.025540,0.025540,0.025540,0
2014-09-29,0.025552,0.025595,0.025000,0.024990,0.024990,0
2014-10-06,0.025007,0.025211,0.024720,0.024760,0.024760,0
2014-10-13,0.024773,0.024996,0.024310,0.024540,0.024540,0
2014-10-20,0.024453,0.024519,0.023814,0.023850,0.023850,0
2014-10-27,0.023812,0.024310,0.022818,0.023110,0.023110,0
2014-11-03,0.023167,0.023210,0.020584,0.021410,0.021410,0
2014-11-10,0.021530,0.022248,0.020911,0.021180,0.021180,0
2014-11-17,0.021935,0.022061,0.021074,0.021870,0.021870,0
2014-11-24,0.021993,0.022546,0.020087,0.020301,0.020301,0
2014-12-01,0.019725,0.019809,0.018236,0.019000,0.019000,0
2014-12-08,0.018986,0.018986,0.017170,0.017180,0.017180,0
2014-12-15,0.017231,0.017346,0.012726,0.016121,0.016121,0
2014-12-22,0.017396,0.019400,0.017238,0.019539,0.019539,0
2014-12-29,0.018025,0.018440,0.016461,0.017145,0.017145,0
2015-01-05,0.017058,0.017466,0.015648,0.016598,0.016598,0
2015-01-12,0.016211,0.016277,0.015009,0.015461,0.015461,0
2015-01-19,0.015322,0.015876,0.015152,0.015551,0.015551,0
2015-01-26,0.015507,0.015507,0.013974,0.014440,0.014440,0
2015-02-02,0.014386,0.015506,0.014199,0.015066,0.015066,0
2015-02-09,0.015253,0.015855,0.014860,0.015750,0.015750,0
2015-02-16,0.015940,0.016336,0.015688,0.016162,0.016162,0
2015-02-23,0.016166,0.016704,0.015505,0.016357,0.016357,0
2015-03-02,0.016258,0.016865,0.016008,0.016415,0.016415,0
2015-03-09,0.016504,0.016678,0.015870,0.016040,0.016040,0
2015-03-16,0.016038,0.016859,0.015944,0.016657,0.016657,0
2015-03-23,0.016810,0.017827,0.016704,0.017449,0.017449,0
2015-03-30,0.017954,0.017954,0.017044,0.017683,0.017683,0
2015-04-06,0.017524,0.019873,0.017524,0.019143,0.019143,0
2015-04-13,0.018619,0.020373,0.018619,0.019236,0.019236,0
2015-04-20,0.019329,0.019972,0.018491,0.019640,0.019640,0
2015-04-27,0.019847,0.020036,0.019039,0.019385,0.019385,0
2015-05-04,0.019380,0.020120,0.019153,0.019897,0.019897,0
2015-05-11,0.019614,0.020465,0.019348,0.019977,0.019977,0
2015-05-18,0.020231,0.020491,0.019911,0.020036,0.020036,0
2015-05-25,0.020153,0.020197,0.017195,0.019037,0.019037,0
2015-06-01,0.019148,0.019199,0.017494,0.017745,0.017745,0
2015-06-08,0.017862,0.018659,0.017736,0.018287,0.018287,0
2015-06-15,0.018119,0.018873,0.018014,0.018783,0.018783,0
2015-06-22,0.018618,0.018741,0.018086,0.018289,0.018289,0
2015-06-29,0.018100,0.018203,0.017868,0.018022,0.018022,0
2015-07-06,0.017830,0.017934,0.017345,0.017477,0.017477,0
2015-07-13,0.017738,0.017878,0.017516,0.017560,0.017560,0
2015-07-20,0.017502,0.017687,0.017040,0.017292,0.017292,0
2015-07-27,0.017077,0.017203,0.016333,0.016757,0.016757,0
2015-08-03,0.016257,0.016291,0.015159,0.015509,0.015509,0
2015-08-10,0.015641,0.015898,0.015340,0.015499,0.015499,0
2015-08-17,0.015430,0.015507,0.014543,0.014678,0.014678,0
2015-08-24,0.014267,0.015455,0.013974,0.015136,0.015136,0
2015-08-31,0.015359,0.015975,0.014725,0.014894,0.014894,0
2015-09-07,0.014634,0.014982,0.014439,0.014774,0.014774,0
2015-09-14,0.014929,0.015443,0.014693,0.015291,0.015291,0
2015-09-21,0.015077,0.015314,0.014978,0.015133,0.015133,0
2015-09-28,0.015285,0.015440,0.015004,0.015238,0.015238,0
2015-10-05,0.015127,0.016481,0.015127,0.016180,0.016180,0
2015-10-12,0.016287,0.016515,0.015803,0.016298,0.016298,0
2015-10-19,0.016313,0.016434,0.015835,0.015998,0.015998,0
2015-10-26,0.016125,0.016155,0.015271,0.015579,0.015579,0
2015-11-02,0.015597,0.016070,0.015439,0.016064,0.016064,0
2015-11-09,0.015574,0.015608,0.014925,0.015048,0.015048,0
2015-11-16,0.014925,0.015544,0.014925,0.015493,0.015493,0
2015-11-23,0.015487,0.015524,0.015056,0.015253,0.015253,0
2015-11-30,0.015008,0.015213,0.014651,0.014797,0.014797,0
2015-12-07,0.014586,0.015112,0.014294,0.015112,0.015112,0
2015-12-14,0.015112,0.015112,0.014004,0.014101,0.014101,0
2015-12-21,0.014023,0.014453,0.014021,0.014385,0.014385,0
2015-12-28,0.014196,0.014196,0.013547,0.013656,0.013656,0
2016-01-04,0.013709,0.013709,0.013247,0.013406,0.013406,0
2016-01-11,0.013162,0.013324,0.012861,0.013107,0.013107,0
2016-01-18,0.012770,0.012831,0.011653,0.012790,0.012790,0
2016-01-25,0.013037,0.013406,0.012172,0.013063,0.013063,0
2016-02-01,0.013194,0.013256,0.012539,0.012900,0.012900,0
2016-02-08,0.013046,0.013090,0.012420,0.012536,0.012536,0
2016-02-15,0.012893,0.013343,0.012785,0.012980,0.012980,0
2016-02-22,0.012987,0.013428,0.012902,0.013301,0.013301,0
2016-02-29,0.013225,0.013855,0.013115,0.013682,0.013682,0
2016-03-07,0.013749,0.014398,0.013627,0.014055,0.014055,0
2016-03-14,0.014277,0.014873,0.014012,0.014600,0.014600,0
2016-03-21,0.014533,0.014864,0.014362,0.014582,0.014582,0
2016-03-28,0.014749,0.014991,0.014453,0.014780,0.014780,0
2016-04-04,0.014658,0.014947,0.014398,0.014890,0.014890,0
2016-04-11,0.014948,0.015329,0.014857,0.015168,0.015168,0
2016-04-18,0.014653,0.015470,0.014548,0.015001,0.015001,0
2016-04-25,0.015070,0.015628,0.014963,0.015460,0.015460,0
2016-05-02,0.015535,0.015628,0.015017,0.015157,0.015157,0
2016-05-09,0.015184,0.015491,0.015008,0.015425,0.015425,0
