Date,Open,High,Low,Close,Adj Close,Volume
2014-02-17,1.905500,1.913300,1.902600,1.911200,1.911200,0
2014-02-24,1.911200,1.911200,1.889200,1.893600,1.893600,0
2014-03-03,1.893600,1.914600,1.885200,1.889700,1.889700,0
2014-03-10,1.889700,1.902600,1.868600,1.868600,1.868600,0
2014-03-17,1.897500,1.902800,1.856700,1.856700,1.856700,0
2014-03-24,1.879700,1.879700,1.815100,1.879205,1.879205,0
2014-03-31,1.843800,1.855100,1.837100,1.844900,1.844900,0
2014-04-07,1.849800,1.868700,1.842700,1.862400,1.862400,0
2014-04-14,1.862400,1.876600,1.856600,1.868500,1.868500,0
2014-04-21,1.868500,1.889500,1.868500,1.878200,1.878200,0
2014-04-28,1.878200,1.880800,1.852100,1.856493,1.856493,0
2014-05-05,1.856600,1.860700,1.833600,1.836200,1.836200,0
2014-05-12,1.836200,1.840900,1.794200,1.835536,1.835536,0
2014-05-19,1.801200,1.811300,1.786000,1.797400,1.797400,0
2014-05-26,1.797400,1.812000,1.792300,1.803427,1.803427,0
2014-06-02,1.800200,1.821200,1.794300,1.819600,1.819600,0
2014-06-09,1.817300,1.844000,1.816400,1.842400,1.842400,0
2014-06-16,1.842400,1.860900,1.842400,1.855425,1.855425,0
2014-06-23,1.853500,1.857300,1.846900,1.851475,1.851475,0
2014-06-30,1.848200,1.856000,1.834900,1.846449,1.846449,0
2014-07-07,1.843200,1.869700,1.840400,1.867700,1.867700,0
2014-07-14,1.867700,1.876400,1.863200,1.874300,1.874300,0
2014-07-21,1.873200,1.895600,1.873200,1.884100,1.884100,0
2014-07-28,1.884100,1.903900,1.872700,1.903000,1.903000,0
2014-08-04,1.903000,1.914000,1.886000,1.900900,1.900900,0
2014-08-11,1.900900,1.915900,1.899000,1.904800,1.904800,0
2014-08-18,1.908500,1.908700,1.886800,1.890600,1.890600,0
2014-08-25,1.890600,1.931322,1.877000,1.877000,1.877000,0
2014-09-01,1.884800,1.920602,1.876300,1.920602,1.920602,0
2014-09-08,1.886200,1.922633,1.861700,1.922633,1.922633,0
2014-09-15,1.861700,1.921636,1.861700,1.921636,1.921636,0
2014-09-22,1.884900,1.905300,1.869900,1.882700,1.882700,0
2014-09-29,1.882700,1.910200,1.882700,1.887149,1.887149,0
2014-10-06,1.868400,1.889500,1.863900,1.863900,1.863900,0
2014-10-13,1.886200,1.906400,1.876200,1.891800,1.891800,0
2014-10-20,1.891800,1.927748,1.883600,1.927748,1.927748,0
2014-10-27,1.884800,1.892000,1.858700,1.858700,1.858700,0
2014-11-03,1.873900,1.912997,1.865600,1.912997,1.912997,0
2014-11-10,1.874600,1.882300,1.843300,1.876500,1.876500,0
2014-11-17,1.854800,1.891500,1.854800,1.886010,1.886010,0
2014-11-24,1.882300,1.927414,1.879300,1.927414,1.927414,0
2014-12-01,1.868700,1.892100,1.868700,1.876313,1.876313,0
2014-12-08,1.872600,1.905900,1.867900,1.903500,1.903500,0
2014-12-15,1.903500,1.932900,1.897400,1.927116,1.927116,0
2014-12-22,1.921900,1.935771,1.917500,1.935771,1.935771,0
2014-12-29,1.929100,1.934000,1.906100,1.920160,1.920160,0
2015-01-05,1.916400,1.933000,1.890000,1.900924,1.900924,0
2015-01-12,1.896900,1.901700,1.875300,1.901213,1.901213,0
2015-01-19,1.898600,1.898600,1.878300,1.889252,1.889252,0
2015-01-26,1.885300,1.894119,1.877700,1.894119,1.894119,0
2015-02-02,1.890700,1.900779,1.885700,1.900779,1.900779,0
2015-02-09,1.897000,1.911700,1.897000,1.901100,1.901100,0
2015-02-16,1.901100,1.913100,1.901100,1.910001,1.910001,0
2015-02-23,1.906000,1.913700,1.899600,1.906796,1.906796,0
2015-03-02,1.902800,1.924800,1.902800,1.918981,1.918981,0
2015-03-09,1.914800,1.924600,1.896900,1.918281,1.918281,0
2015-03-16,1.913800,1.918400,1.898700,1.917325,1.917325,0
2015-03-23,1.913300,1.929800,1.905600,1.921968,1.921968,0
2015-03-30,1.917500,1.930204,1.885000,1.930204,1.930204,0
2015-04-06,1.910100,1.917300,1.903600,1.914425,1.914425,0
2015-04-13,1.910300,1.935884,1.908900,1.935884,1.935884,0
2015-04-20,1.910300,1.956105,1.908900,1.955417,1.955417,0
2015-04-27,1.945700,1.946700,1.916000,1.925966,1.925966,0
2015-05-04,1.924500,1.925000,1.889800,1.900382,1.900382,0
2015-05-11,1.898900,1.915600,1.881200,1.896705,1.896705,0
2015-05-18,1.894100,1.912600,1.886500,1.898398,1.898398,0
2015-05-25,1.896100,1.900200,1.881300,1.889400,1.889400,0
2015-06-01,1.892400,1.905500,1.880800,1.895800,1.895800,0
2015-06-08,1.880300,1.905700,1.880300,1.899100,1.899100,0
2015-06-15,1.905200,1.910100,1.882800,1.892400,1.892400,0
2015-06-22,1.886800,1.894600,1.876600,1.880500,1.880500,0
2015-06-29,1.845900,1.891100,1.845900,1.875400,1.875400,0
2015-07-06,1.876500,1.880800,1.864000,1.866600,1.866600,0
2015-07-13,1.867100,1.871000,1.852800,1.854600,1.854600,0
2015-07-20,1.854000,1.855900,1.825200,1.834900,1.834900,0
2015-07-27,1.836200,1.844200,1.815600,1.824900,1.824900,0
2015-08-03,1.828000,1.831100,1.806500,1.815100,1.815100,0
2015-08-10,1.812900,1.857100,1.806200,1.854900,1.854900,0
2015-08-17,1.847400,1.860800,1.816600,1.839800,1.839800,0
2015-08-24,1.849500,1.880100,1.839800,1.852600,1.852600,0
