index,Headline,Date,pred_score,Headline_x,Headline_y
3451,Yearn Finance Consumes Pickle Without Governance Vote,25-Nov-20,-0.2,,
3452,Brink Aims to Attract Top Bitcoin Developers,25-Nov-20,0.1,,
3453,Zcash (ZEC) Aims For $100 August Highs and Beyond,25-Nov-20,0.7,,
3454,South Korea May Postpone Cryptocurrency Tax Enforcement Until 2022,25-Nov-20,0.1,,
3455,Bitcoin Breaks Out but Is Stopped Short of New All-Time High,25-Nov-20,0.3,,
3456,Ethereum Becomes One of the Largest Proof of Stake Chains Even Before Launch,25-Nov-20,0.5,,
3457,Dormant Ripple Whale Linked to Genesis Address Moves 40 Million XRP to Bitstamp,25-Nov-20,0.1,,
3458,Will TRON (TRX) Finally Break Out Above $0.04?,25-Nov-20,0.1,,
3459,Nigeria’s Finance Ministry to Collaborate With SEC on Crypto Framework,24-Nov-20,0.1,,
3460,Lithuania Scores $7.6M From Confiscated Crypto Tokens,24-Nov-20,0.3,,
3461,Global Crypto & CBDC Adoption Is a Matter of ‘When’ Not ‘if’ – PayPal CEO,24-Nov-20,0.1,,
3462,Blockchain Provides Legal High for Cannabis Users,24-Nov-20,0.1,,
3463,EOS Bounces and Aims for a November Breakout,24-Nov-20,0.3,,
3464,Coinbase Temporarily Goes Down (Again) as XRP Prices Spike,24-Nov-20,-0.3,,
3465,Biden Nominates Former Fed Chair & Noted Bitcoin Critic for Treasury,24-Nov-20,-0.4,,
3466,Will Litecoin (LTC) Break Through $100?,24-Nov-20,0.1,,
3467,Algorand (ALGO) Presses on Toward $0.42 Resistance,24-Nov-20,0.1,,
3468,Bitcoin Hunts for New All-Time High After Sweeping Range Lows,24-Nov-20,0.7,,
3469,Ethereum 2.0 Deposit Contract Reaches Threshold Value in Time for Dec 1 Launch,24-Nov-20,0.7,,
3470,"Canadian Bank Seizes $3,000 from Scam Victim’s Account to Reimburse Itself",24-Nov-20,-0.8,,
3471,MATIC Rallies but Has Yet to Confirm Bullish Trend,24-Nov-20,0.1,,
3472,EXCLUSIVE: Is HEX Token a Rabbit in a Hat or a Sack Full of Cats?,23-Nov-20,0.1,,
3473,China Construction Bank Withdraws Blockchain Bond,23-Nov-20,-0.2,,
3474,ADA Breaks Out and Touches New Yearly High,23-Nov-20,0.7,,
3475,"97% of Bitcoin Addresses in Profit, but Many DeFi Holders Still Down",23-Nov-20,0.3,,
3476,This Is a Crucial Support Area for SUSHI if It Wants To Maintain Its Bullish Trend,23-Nov-20,0.1,,
3477,Can Falsified Lab Tests be Cured Through Blockchain?,23-Nov-20,0.1,,
3478,XRP Awakens From Slumber to Rise Over 100% in the Past Week,23-Nov-20,0.8,,
3479,Yearn.Finance Founder Andre Cronje Launches New Protocol “Deriswap”,23-Nov-20,0.1,,
3480,Suzhou Becomes the Latest City in China to Introduce Digital Yuan,23-Nov-20,0.1,,
3481,Swipe (SXP) Waiting to Make Decisive Move After Breaking Past Resistance,23-Nov-20,0.3,,
3482,Linkswap Launch Hype Mounts as Native YFL Token Soars,23-Nov-20,0.5,,
3483,"Bitcoin Adds $2,600 to Close a Massive Bullish Week",23-Nov-20,0.8,,
3484,Pickle Finance Postmortem Details How $19 Million DAI was Pilfered,23-Nov-20,-0.8,,
3485,Chainalysis Set to Become Blockchain’s Next Unicorn,23-Nov-20,0.5,,
