Date,pred_score
18-Apr-24,0.3
18-Apr-24,0.1
18-Apr-24,0.2
18-Apr-24,-0.1
18-Apr-24,0.4
18-Apr-24,-0.3
17-Apr-24,0
17-Apr-24,0.7
17-Apr-24,0.2
17-Apr-24,0.1
17-Apr-24,0.3
17-Apr-24,-0.2
17-Apr-24,0.2
17-Apr-24,-0.6
17-Apr-24,-0.1
17-Apr-24,0.4
08-Apr-24,-0.8
08-Apr-24,-0.9
08-Apr-24,0.5
08-Apr-24,0.8
08-Apr-24,-0.4
08-Apr-24,-0.5
08-Apr-24,0.7
08-Apr-24,0.3
08-Apr-24,-0.7
08-Apr-24,-0.2
08-Apr-24,0.5
08-Apr-24,0.8
08-Apr-24,-0.7
08-Apr-24,0.6
08-Apr-24,0.8
08-Apr-24,0.4
09-Jan-24,0.1
09-Jan-24,0.1
09-Jan-24,-0.1
09-Jan-24,0.6
09-Jan-24,-0.5
09-Jan-24,0.4
09-Jan-24,0.1
09-Jan-24,0.2
09-Jan-24,-0.3
09-Jan-24,0.5
09-Jan-24,0.7
09-Jan-24,-0.2
09-Jan-24,0.6
09-Jan-24,0
09-Jan-24,0.4
09-Jan-24,0.5
01-Jul-21,0.2
01-Jul-21,0.1
01-Jul-21,-0.5
01-Jul-21,0.6
01-Jul-21,0.1
01-Jul-21,-0.7
01-Jul-21,-0.4
01-Jul-21,-0.9
01-Jul-21,0.7
30-Jun-21,0.3
30-Jun-21,0.2
30-Jun-21,0.8
30-Jun-21,0.6
30-Jun-21,0.4
30-Jun-21,0.5
30-Jun-21,0.8
30-Jun-21,0.1
30-Jun-21,0.4
30-Jun-21,0.3
30-Jun-21,-0.3
30-Jun-21,0.1
30-Jun-21,0.1
30-Jun-21,0.4
30-Jun-21,0.3
30-Jun-21,-0.6
30-Jun-21,-0.2
30-Jun-21,0.5
29-Jun-21,-0.6
29-Jun-21,-0.8
29-Jun-21,0.1
29-Jun-21,0.5
29-Jun-21,0.7
29-Jun-21,0.8
29-Jun-21,-0.2
29-Jun-21,0.6
29-Jun-21,0.8
29-Jun-21,0.6
29-Jun-21,-0.4
29-Jun-21,0.1
29-Jun-21,-0.7
29-Jun-21,0.4
29-Jun-21,-0.5
29-Jun-21,0.5
